,zipcodes,CMPLNT_MONTH,CMPLNT_NUM_count
0,7077,5,1
1,7077,6,3
2,7077,7,1
3,7077,10,1
4,10001,4,440
5,10001,5,432
6,10001,6,480
7,10001,7,445
8,10001,8,422
9,10001,9,472
10,10001,10,495
11,10001,11,445
12,10001,12,443
13,10002,4,514
14,10002,5,585
15,10002,6,545
16,10002,7,601
17,10002,8,601
18,10002,9,576
19,10002,10,538
20,10002,11,506
21,10002,12,512
22,10003,4,270
23,10003,5,313
24,10003,6,340
25,10003,7,339
26,10003,8,292
27,10003,9,379
28,10003,10,328
29,10003,11,327
30,10003,12,294
31,10004,4,5
32,10004,5,6
33,10004,6,8
34,10004,7,4
35,10004,8,10
36,10004,9,21
37,10004,10,26
38,10004,11,22
39,10004,12,9
40,10005,4,35
41,10005,5,38
42,10005,6,38
43,10005,7,34
44,10005,8,46
45,10005,9,45
46,10005,10,27
47,10005,11,36
48,10005,12,24
49,10006,4,37
50,10006,5,46
51,10006,6,68
52,10006,7,68
53,10006,8,68
54,10006,9,63
55,10006,10,41
56,10006,11,37
57,10006,12,49
58,10007,4,72
59,10007,5,52
60,10007,6,75
61,10007,7,89
62,10007,8,92
63,10007,9,87
64,10007,10,71
65,10007,11,53
66,10007,12,47
67,10009,4,306
68,10009,5,286
69,10009,6,303
70,10009,7,308
71,10009,8,313
72,10009,9,343
73,10009,10,304
74,10009,11,294
75,10009,12,274
76,10011,4,419
77,10011,5,430
78,10011,6,458
79,10011,7,410
80,10011,8,519
81,10011,9,518
82,10011,10,467
83,10011,11,437
84,10011,12,394
85,10012,4,263
86,10012,5,287
87,10012,6,277
88,10012,7,334
89,10012,8,335
90,10012,9,341
91,10012,10,361
92,10012,11,290
93,10012,12,276
94,10013,4,90
95,10013,5,114
96,10013,6,89
97,10013,7,93
98,10013,8,83
99,10013,9,92
100,10013,10,96
101,10013,11,80
102,10013,12,58
103,10014,4,91
104,10014,5,130
105,10014,6,161
106,10014,7,144
107,10014,8,174
108,10014,9,177
109,10014,10,146
110,10014,11,141
111,10014,12,105
112,10016,4,112
113,10016,5,160
114,10016,6,153
115,10016,7,159
116,10016,8,168
117,10016,9,120
118,10016,10,153
119,10016,11,136
120,10016,12,110
121,10017,4,131
122,10017,5,124
123,10017,6,185
124,10017,7,156
125,10017,8,167
126,10017,9,143
127,10017,10,185
128,10017,11,169
129,10017,12,139
130,10018,4,409
131,10018,5,441
132,10018,6,446
133,10018,7,451
134,10018,8,411
135,10018,9,460
136,10018,10,428
137,10018,11,392
138,10018,12,318
139,10019,4,164
140,10019,5,196
141,10019,6,208
142,10019,7,235
143,10019,8,204
144,10019,9,180
145,10019,10,204
146,10019,11,190
147,10019,12,184
148,10020,4,94
149,10020,5,95
150,10020,6,100
151,10020,7,113
152,10020,8,113
153,10020,9,99
154,10020,10,113
155,10020,11,94
156,10020,12,98
157,10021,4,121
158,10021,5,114
159,10021,6,123
160,10021,7,142
161,10021,8,133
162,10021,9,132
163,10021,10,155
164,10021,11,144
165,10021,12,139
166,10022,4,79
167,10022,5,79
168,10022,6,67
169,10022,7,102
170,10022,8,87
171,10022,9,75
172,10022,10,58
173,10022,11,78
174,10022,12,63
175,10023,4,247
176,10023,5,244
177,10023,6,279
178,10023,7,249
179,10023,8,225
180,10023,9,270
181,10023,10,282
182,10023,11,205
183,10023,12,191
184,10024,4,33
185,10024,5,20
186,10024,6,18
187,10024,7,30
188,10024,8,20
189,10024,9,25
190,10024,10,14
191,10024,11,24
192,10024,12,25
193,10025,4,178
194,10025,5,199
195,10025,6,190
196,10025,7,193
197,10025,8,176
198,10025,9,199
199,10025,10,189
200,10025,11,163
201,10025,12,162
202,10026,4,454
203,10026,5,507
204,10026,6,437
205,10026,7,468
206,10026,8,397
207,10026,9,414
208,10026,10,427
209,10026,11,345
210,10026,12,358
211,10027,4,306
212,10027,5,310
213,10027,6,303
214,10027,7,296
215,10027,8,330
216,10027,9,268
217,10027,10,294
218,10027,11,319
219,10027,12,235
220,10028,4,240
221,10028,5,279
222,10028,6,291
223,10028,7,310
224,10028,8,285
225,10028,9,268
226,10028,10,302
227,10028,11,247
228,10028,12,242
229,10029,4,346
230,10029,5,425
231,10029,6,406
232,10029,7,410
233,10029,8,380
234,10029,9,400
235,10029,10,391
236,10029,11,343
237,10029,12,319
238,10030,4,418
239,10030,5,384
240,10030,6,399
241,10030,7,439
242,10030,8,397
243,10030,9,443
244,10030,10,439
245,10030,11,339
246,10030,12,326
247,10031,4,149
248,10031,5,214
249,10031,6,203
250,10031,7,218
251,10031,8,185
252,10031,9,182
253,10031,10,208
254,10031,11,155
255,10031,12,145
256,10032,4,341
257,10032,5,323
258,10032,6,380
259,10032,7,370
260,10032,8,395
261,10032,9,303
262,10032,10,363
263,10032,11,365
264,10032,12,304
265,10034,4,318
266,10034,5,423
267,10034,6,424
268,10034,7,397
269,10034,8,424
270,10034,9,373
271,10034,10,378
272,10034,11,348
273,10034,12,346
274,10035,4,520
275,10035,5,573
276,10035,6,526
277,10035,7,549
278,10035,8,539
279,10035,9,477
280,10035,10,470
281,10035,11,437
282,10035,12,385
283,10037,4,247
284,10037,5,281
285,10037,6,255
286,10037,7,277
287,10037,8,289
288,10037,9,279
289,10037,10,272
290,10037,11,226
291,10037,12,227
292,10038,4,90
293,10038,5,82
294,10038,6,90
295,10038,7,90
296,10038,8,110
297,10038,9,105
298,10038,10,92
299,10038,11,66
300,10038,12,70
301,10039,4,266
302,10039,5,301
303,10039,6,271
304,10039,7,289
305,10039,8,271
306,10039,9,244
307,10039,10,239
308,10039,11,214
309,10039,12,226
310,10044,4,69
311,10044,5,69
312,10044,6,77
313,10044,7,90
314,10044,8,88
315,10044,9,106
316,10044,10,102
317,10044,11,68
318,10044,12,76
319,10065,4,102
320,10065,5,131
321,10065,6,140
322,10065,7,131
323,10065,8,161
324,10065,9,163
325,10065,10,170
326,10065,11,156
327,10065,12,131
328,10069,4,49
329,10069,5,50
330,10069,6,56
331,10069,7,52
332,10069,8,62
333,10069,9,50
334,10069,10,37
335,10069,11,44
336,10069,12,45
337,10103,4,91
338,10103,5,105
339,10103,6,90
340,10103,7,103
341,10103,8,85
342,10103,9,96
343,10103,10,78
344,10103,11,93
345,10103,12,83
346,10110,4,77
347,10110,5,105
348,10110,6,95
349,10110,7,97
350,10110,8,111
351,10110,9,105
352,10110,10,132
353,10110,11,103
354,10110,12,116
355,10111,4,70
356,10111,5,58
357,10111,6,55
358,10111,7,37
359,10111,8,49
360,10111,9,42
361,10111,10,30
362,10111,11,44
363,10111,12,63
364,10112,4,14
365,10112,5,16
366,10112,6,12
367,10112,7,16
368,10112,8,15
369,10112,9,11
370,10112,10,23
371,10112,11,15
372,10112,12,14
373,10115,4,21
374,10115,5,26
375,10115,6,30
376,10115,7,37
377,10115,8,39
378,10115,9,41
379,10115,10,30
380,10115,11,21
381,10115,12,25
382,10119,4,124
383,10119,5,95
384,10119,6,107
385,10119,7,100
386,10119,8,138
387,10119,9,129
388,10119,10,127
389,10119,11,100
390,10119,12,97
391,10152,4,24
392,10152,5,22
393,10152,6,27
394,10152,7,27
395,10152,8,21
396,10152,9,16
397,10152,10,26
398,10152,11,11
399,10152,12,32
400,10153,4,88
401,10153,5,105
402,10153,6,95
403,10153,7,102
404,10153,8,104
405,10153,9,71
406,10153,10,90
407,10153,11,96
408,10153,12,89
409,10154,4,41
410,10154,5,50
411,10154,6,58
412,10154,7,49
413,10154,8,59
414,10154,9,44
415,10154,10,58
416,10154,11,45
417,10154,12,48
418,10162,4,190
419,10162,5,181
420,10162,6,217
421,10162,7,242
422,10162,8,206
423,10162,9,245
424,10162,10,210
425,10162,11,199
426,10162,12,208
427,10167,4,28
428,10167,5,25
429,10167,6,16
430,10167,7,29
431,10167,8,27
432,10167,9,33
433,10167,10,28
434,10167,11,18
435,10167,12,19
436,10171,4,18
437,10171,5,16
438,10171,6,20
439,10171,7,15
440,10171,8,19
441,10171,9,17
442,10171,10,23
443,10171,11,14
444,10171,12,13
445,10199,4,164
446,10199,5,165
447,10199,6,181
448,10199,7,192
449,10199,8,176
450,10199,9,193
451,10199,10,200
452,10199,11,162
453,10199,12,116
454,10271,4,96
455,10271,5,105
456,10271,6,118
457,10271,7,98
458,10271,8,117
459,10271,9,136
460,10271,10,100
461,10271,11,108
462,10271,12,83
463,10278,4,151
464,10278,5,148
465,10278,6,182
466,10278,7,181
467,10278,8,177
468,10278,9,136
469,10278,10,172
470,10278,11,153
471,10278,12,132
472,10280,4,25
473,10280,5,40
474,10280,6,30
475,10280,7,31
476,10280,8,44
477,10280,9,30
478,10280,10,22
479,10280,11,25
480,10280,12,18
481,10282,4,24
482,10282,5,28
483,10282,6,16
484,10282,7,11
485,10282,8,16
486,10282,9,22
487,10282,10,12
488,10282,11,11
489,10282,12,11
490,10301,4,254
491,10301,5,279
492,10301,6,271
493,10301,7,250
494,10301,8,266
495,10301,9,243
496,10301,10,286
497,10301,11,200
498,10301,12,194
499,10302,4,29
500,10302,5,33
501,10302,6,40
502,10302,7,39
503,10302,8,31
504,10302,9,30
505,10302,10,40
506,10302,11,29
507,10302,12,30
508,10303,4,184
509,10303,5,218
510,10303,6,205
511,10303,7,247
512,10303,8,235
513,10303,9,244
514,10303,10,231
515,10303,11,218
516,10303,12,207
517,10304,4,108
518,10304,5,98
519,10304,6,84
520,10304,7,102
521,10304,8,99
522,10304,9,121
523,10304,10,92
524,10304,11,105
525,10304,12,76
526,10305,4,215
527,10305,5,258
528,10305,6,236
529,10305,7,273
530,10305,8,201
531,10305,9,239
532,10305,10,241
533,10305,11,186
534,10305,12,190
535,10306,4,157
536,10306,5,178
537,10306,6,168
538,10306,7,137
539,10306,8,128
540,10306,9,163
541,10306,10,152
542,10306,11,129
543,10306,12,106
544,10307,4,42
545,10307,5,54
546,10307,6,67
547,10307,7,52
548,10307,8,59
549,10307,9,48
550,10307,10,61
551,10307,11,46
552,10307,12,36
553,10308,4,48
554,10308,5,78
555,10308,6,86
556,10308,7,72
557,10308,8,52
558,10308,9,60
559,10308,10,47
560,10308,11,44
561,10308,12,37
562,10309,4,57
563,10309,5,74
564,10309,6,54
565,10309,7,52
566,10309,8,59
567,10309,9,55
568,10309,10,47
569,10309,11,61
570,10309,12,42
571,10310,4,196
572,10310,5,160
573,10310,6,178
574,10310,7,220
575,10310,8,156
576,10310,9,196
577,10310,10,195
578,10310,11,183
579,10310,12,163
580,10311,4,21
581,10311,5,15
582,10311,6,27
583,10311,7,25
584,10311,8,25
585,10311,9,31
586,10311,10,18
587,10311,11,12
588,10311,12,21
589,10312,4,72
590,10312,5,80
591,10312,6,92
592,10312,7,98
593,10312,8,100
594,10312,9,101
595,10312,10,82
596,10312,11,80
597,10312,12,85
598,10314,4,115
599,10314,5,149
600,10314,6,157
601,10314,7,153
602,10314,8,137
603,10314,9,163
604,10314,10,144
605,10314,11,127
606,10314,12,131
607,10451,4,600
608,10451,5,626
609,10451,6,556
610,10451,7,616
611,10451,8,528
612,10451,9,546
613,10451,10,619
614,10451,11,576
615,10451,12,510
616,10452,4,534
617,10452,5,566
618,10452,6,585
619,10452,7,623
620,10452,8,539
621,10452,9,562
622,10452,10,527
623,10452,11,540
624,10452,12,432
625,10453,4,419
626,10453,5,454
627,10453,6,427
628,10453,7,521
629,10453,8,479
630,10453,9,464
631,10453,10,448
632,10453,11,432
633,10453,12,403
634,10454,4,345
635,10454,5,381
636,10454,6,402
637,10454,7,418
638,10454,8,425
639,10454,9,457
640,10454,10,379
641,10454,11,428
642,10454,12,342
643,10455,4,302
644,10455,5,341
645,10455,6,361
646,10455,7,339
647,10455,8,331
648,10455,9,333
649,10455,10,272
650,10455,11,287
651,10455,12,268
652,10456,4,559
653,10456,5,617
654,10456,6,622
655,10456,7,660
656,10456,8,575
657,10456,9,596
658,10456,10,623
659,10456,11,611
660,10456,12,524
661,10457,4,435
662,10457,5,446
663,10457,6,464
664,10457,7,467
665,10457,8,505
666,10457,9,488
667,10457,10,500
668,10457,11,400
669,10457,12,393
670,10458,4,529
671,10458,5,600
672,10458,6,559
673,10458,7,655
674,10458,8,679
675,10458,9,627
676,10458,10,652
677,10458,11,500
678,10458,12,525
679,10459,4,486
680,10459,5,564
681,10459,6,477
682,10459,7,627
683,10459,8,576
684,10459,9,606
685,10459,10,503
686,10459,11,494
687,10459,12,485
688,10460,4,378
689,10460,5,444
690,10460,6,422
691,10460,7,461
692,10460,8,476
693,10460,9,472
694,10460,10,472
695,10460,11,425
696,10460,12,432
697,10461,4,158
698,10461,5,142
699,10461,6,168
700,10461,7,172
701,10461,8,144
702,10461,9,123
703,10461,10,140
704,10461,11,133
705,10461,12,137
706,10462,4,205
707,10462,5,189
708,10462,6,236
709,10462,7,192
710,10462,8,278
711,10462,9,178
712,10462,10,191
713,10462,11,193
714,10462,12,213
715,10463,4,127
716,10463,5,163
717,10463,6,133
718,10463,7,160
719,10463,8,196
720,10463,9,137
721,10463,10,122
722,10463,11,145
723,10463,12,134
724,10464,4,23
725,10464,5,16
726,10464,6,27
727,10464,7,25
728,10464,8,24
729,10464,9,17
730,10464,10,13
731,10464,11,12
732,10464,12,10
733,10465,4,164
734,10465,5,172
735,10465,6,199
736,10465,7,239
737,10465,8,198
738,10465,9,168
739,10465,10,167
740,10465,11,166
741,10465,12,191
742,10466,4,232
743,10466,5,285
744,10466,6,230
745,10466,7,229
746,10466,8,231
747,10466,9,236
748,10466,10,214
749,10466,11,210
750,10466,12,175
751,10467,4,525
752,10467,5,550
753,10467,6,528
754,10467,7,557
755,10467,8,600
756,10467,9,523
757,10467,10,497
758,10467,11,468
759,10467,12,439
760,10468,4,444
761,10468,5,530
762,10468,6,523
763,10468,7,636
764,10468,8,581
765,10468,9,557
766,10468,10,584
767,10468,11,537
768,10468,12,507
769,10469,4,351
770,10469,5,397
771,10469,6,372
772,10469,7,368
773,10469,8,397
774,10469,9,377
775,10469,10,368
776,10469,11,335
777,10469,12,291
778,10470,4,186
779,10470,5,199
780,10470,6,170
781,10470,7,221
782,10470,8,207
783,10470,9,153
784,10470,10,179
785,10470,11,152
786,10470,12,167
787,10471,4,36
788,10471,5,56
789,10471,6,32
790,10471,7,40
791,10471,8,53
792,10471,9,43
793,10471,10,68
794,10471,11,43
795,10471,12,34
796,10472,4,232
797,10472,5,267
798,10472,6,258
799,10472,7,264
800,10472,8,259
801,10472,9,251
802,10472,10,226
803,10472,11,205
804,10472,12,211
805,10473,4,289
806,10473,5,325
807,10473,6,287
808,10473,7,321
809,10473,8,284
810,10473,9,302
811,10473,10,263
812,10473,11,241
813,10473,12,264
814,10474,4,160
815,10474,5,164
816,10474,6,177
817,10474,7,235
818,10474,8,173
819,10474,9,177
820,10474,10,191
821,10474,11,131
822,10474,12,132
823,10475,4,166
824,10475,5,183
825,10475,6,159
826,10475,7,172
827,10475,8,148
828,10475,9,176
829,10475,10,153
830,10475,11,169
831,10475,12,138
832,10550,4,1
833,10550,5,2
834,10550,6,1
835,10550,7,2
836,10550,8,4
837,10550,9,1
838,10550,11,3
839,10550,12,1
840,10705,4,2
841,10705,6,4
842,10705,7,1
843,10705,8,3
844,10705,9,1
845,10705,10,2
846,10705,12,2
847,10803,4,3
848,10803,5,4
849,10803,6,8
850,10803,7,6
851,10803,8,1
852,10803,9,2
853,10803,10,3
854,10803,11,2
855,10803,12,1
856,11001,4,8
857,11001,5,5
858,11001,6,7
859,11001,7,8
860,11001,8,2
861,11001,9,1
862,11001,10,8
863,11001,11,8
864,11001,12,5
865,11004,4,31
866,11004,5,33
867,11004,6,18
868,11004,7,22
869,11004,8,19
870,11004,9,24
871,11004,10,27
872,11004,11,29
873,11004,12,30
874,11005,4,7
875,11005,5,9
876,11005,6,7
877,11005,7,7
878,11005,8,5
879,11005,9,2
880,11005,10,6
881,11005,11,6
882,11005,12,6
883,11096,4,22
884,11096,5,17
885,11096,6,22
886,11096,7,32
887,11096,8,30
888,11096,9,27
889,11096,10,23
890,11096,11,12
891,11096,12,19
892,11101,4,64
893,11101,5,74
894,11101,6,69
895,11101,7,70
896,11101,8,76
897,11101,9,68
898,11101,10,52
899,11101,11,49
900,11101,12,45
901,11102,4,163
902,11102,5,170
903,11102,6,158
904,11102,7,151
905,11102,8,162
906,11102,9,147
907,11102,10,153
908,11102,11,151
909,11102,12,135
910,11103,4,224
911,11103,5,246
912,11103,6,204
913,11103,7,214
914,11103,8,237
915,11103,9,201
916,11103,10,212
917,11103,11,218
918,11103,12,226
919,11104,4,89
920,11104,5,104
921,11104,6,123
922,11104,7,101
923,11104,8,117
924,11104,9,93
925,11104,10,93
926,11104,11,100
927,11104,12,91
928,11105,4,76
929,11105,5,91
930,11105,6,72
931,11105,7,122
932,11105,8,119
933,11105,9,71
934,11105,10,80
935,11105,11,61
936,11105,12,74
937,11106,4,180
938,11106,5,177
939,11106,6,184
940,11106,7,237
941,11106,8,185
942,11106,9,170
943,11106,10,164
944,11106,11,165
945,11106,12,135
946,11109,4,60
947,11109,5,85
948,11109,6,82
949,11109,7,80
950,11109,8,77
951,11109,9,68
952,11109,10,82
953,11109,11,55
954,11109,12,57
955,11201,4,335
956,11201,5,325
957,11201,6,343
958,11201,7,349
